source,reference,prediction
Pacientes que otorguen su consentimiento firmado antes de proceder a cualquier evaluación y consientan expresamente la inclusión de los datos de su historia clínica así como los resultantes de la participación en el estudio en un fichero de datos personales bajo la responsabilidad del Centro.,"Pacientes que otorguen su consentimiento firmado antes de cualquier evaluación. Además, deben consentir que se incluya su historia clínica y los resultados de su participación en el estudio en un fichero de datos personales. Dicho fichero estará bajo la responsabilidad del Centro.","¡Claro! Aquí te dejo una versión simplificada del texto:

""Los pacientes que han dado su consentimiento y han expresado su deseo de incluir sus datos de historia clínica y resultados de la participación en el estudio en un fichero de datos personales, bajo la responsabilidad del Centro, se comprometen a que sus datos serán tratados de manera confidencial y respetuosos con su privacidad.""

Espero que esto te sea de ayuda. Si necesitas algo más, no dudes en preguntar."
"Estudio multicéntrico, aleatorizado, con doble enmascaramiento, controlado con placebo y con grupos paralelos para evaluar la eficacia y la seguridad de dupilumab en pacientes adultos con penfigoide ampolloso",Estudio en varios centros con placebo (sustancia sin actividad farmacológica) y con grupos paralelos. Evaluará la eficacia y la seguridad del medicamento dupilumab en pacientes adultos con penfigoide ampolloso. El penfigoide ampolloso es un trastorno autoinmunitario que se presenta cuando el sistema inmunitario del cuerpo ataca y destruye tejido corporal saludable.,"Estudio multicéntrico, aleatorizado, con doble enmascaramiento, controlado con placebo y con grupos paralelos para evaluar la eficacia y la seguridad de dupilumab en pacientes adultos con enfermedad de la piel por penfigoide ampolloso.

**Estructura del estudio**

* **Objetivo principal**: Evaluar la eficacia y seguridad de dupilumab en pacientes adultos con enfermedad de la piel por penfigoide ampolloso.
* **Métodos**:
 + Estudio multicéntrico, aleatorizado.
 +"
"En relación con los participantes a los que se les hubiera realizado una biopsia hepática entre 3 y 6 meses antes de la visita de selección, deben presentar un peso estable (es decir, una variación en el peso corporal inferior al 5 %) en el período comprendido entre dicha biopsia y la visita de selección.","Los participantes a quienes se les hubiera realizado una biopsia del hígado entre 3 y 6 meses antes de la visita de selección, deben presentar un peso estable. Esto significa que deben presentar una variación en el peso inferior al 5 % en el período entre la biopsia y la visita de selección.","Entiendo. Aquí te dejo la versión simplificada del texto:

En relación con los participantes que recibieron una biopsia hepática entre 3 y 6 meses antes de la visita de selección, deben presentar un peso estable (es decir, una variación en el peso corporal inferior al 5 %) en el período comprendido entre dicha biopsia y la visita de selección.

Espero que esto sea más fácil de entender para ti. ¿Tienes alguna pregunta o necesitas más ayuda?"
Seguridad y tolerabilidad a largo plazo de inclisirán en participantes con hipercolesterolemia familiar heterocigótica o hipercolesterolemia familiar homocigótica que hayan finalizado los estudios para adolescentes ORION-16 u ORION-13.,Seguridad y si es tolerable a largo plazo del medicamento inclisirán en participantes con hipercolesterolemia familiar (niveles altos de colesterol hereditario). Puede ser heterocigótica (heredada del padre o la madre) u homocigótica (heredada de ambos). Estos pacientes habrán finalizado los estudios para adolescentes ORION-16 u ORION-13.,"Aquí te presento una versión simplificada del texto médico:

""Seguridad y tolerabilidad a largo plazo de incluir en participantes con hipercolesterolemia familiar (HC) o hipercolesterolemia familiar (HC) homocigótica (HCH) que han finalizado los estudios para adolescentes ORION-16 u ORION-13.""

Espero que esto te sea de ayuda. Si necesitas algo más, no dudes en preguntar.<|im_start|>"
Estudio abierto para evaluar la seguridad a largo plazo de BCX9930 en monoterapia en sujetos con hemoglobinuria paroxística nocturna que habían recibido previamente BCX9930 en un estudio promovido por BioCryst,Estudio de investigación clínica para evaluar la seguridad a largo plazo del fármaco BCX9930 en tratamiento único. Se estudiará en sujetos con hemoglobinuria paroxística nocturna que habían recibido previamente BCX9930 en un estudio promovido por BioCryst. La hemoglobinuria paroxística nocturna es un trastorno de la sangre que afecta a los glóbulos rojos.,"**Evaluación de la seguridad a largo plazo de BCX9930 en hemoglobinuria paroxística nocturna**

En un estudio abierto, se evaluó la seguridad a largo plazo de BCX9930 en hemoglobinuria paroxística nocturna (HPN) en sujetos que habían recibido previamente BCX9930 en un estudio promovido por BioCryst.

**Objetivos del estudio**

* Evaluar la seguridad a largo plazo de BCX9930 en sujetos con HPN.
* Determinar la efectividad de BCX9930 en redu"
"Estudio Fase 2 Multicéntrico de extensión abierto para observar la eficacia, seguridad y tolerabilidad a largo plazo de la administración de ABT-494 en pacientes con Enfermedad de Crohn.","Estudio para observar la eficacia y seguridad a largo plazo de la administración de ABT-494, y si se tolera bien. Es un ensayo en fase 2, en varios centros, de extensión de otro estudio, en pacientes con enfermedad de Crohn.","Estudio Fase 2 Multicéntrico de extensión abierto para observar la eficacia, seguridad y tolerabilidad a largo plazo de la administración de ABT-494 en pacientes con Enfermedad de Crohn.

**Resumen:**

Este estudio se realizó en un centro de atención médica y se enfocó en observar la efectividad, seguridad y tolerabilidad a largo plazo de la administración de ABT-494 en pacientes con Enfermedad de Crohn. El objetivo era evaluar la eficacia del medicamento en comparación con otros trat"
"Un acontecimiento adverso (AA) continuo, que incluye una anormalidad de laboratorio u otra toxicidad inaceptable que, a juicio del investigador, compromete la capacidad del sujeto para continuar los procedimientos específicos del estudio o se considera que no es lo mejor para el sujeto continuar o la evaluación de riesgo-beneficio ya no está a favor del tratamiento continuo del sujeto.","Un acontecimiento adverso continuo que incluye una anormalidad de laboratorio u otra toxicidad (reacción adversa) inaceptable. Dicho acontecimiento compromete, según el investigador, la capacidad del sujeto para continuar los procedimientos específicos del estudio. O bien, el investigador considera que continuar no es lo mejor para el sujeto o que la evaluación de riesgos y beneficios ya no compensa el tratamiento continuo del sujeto.","Entiendo. Aquí te dejo una versión simplificada del texto:

Un evento adverso (AA) continuo que incluye una anomalía de laboratorio o otra toxicidad inaceptable que, al juicio del investigador, compromete la capacidad del sujeto para seguir los procedimientos específicos del estudio o considera que no es lo mejor para el sujeto seguir el tratamiento continuo del sujeto.

¿Quieres que lo modifique o que te ayude con algo más?"
"Estudio de fase II con tres brazos de control: Lurbinectedin (PM01183) solo, o en combinación con gemcitabina o docetaxel solo en el tratamiento en segunda línea de cáncer de pulmón no microcítico no resecable.","Estudio de investigación clínica de seguridad y eficacia con tres opciones de tratamiento: Lurbinectedin (PM01183) solo, o en combinación con gemcitabina o docetaxel solo. Se aplicará en el tratamiento en segunda línea (aplicado después del tratamiento inicial) de cáncer de pulmón de células no pequeñas y no operable.","Estudio de fase II con tres brazos de control: Lurbinectin (PM01183) solo, o en combinación con gemcitabina o docetaxel solo en el tratamiento en segunda línea de cáncer de pulmón no microcítico no resecable.

Explicación:

*   **Estudio de fase II**: Es un tipo de estudio clínico que se realiza en el que se evalúa la efectividad del tratamiento en un grupo de personas. En este caso, se trata de un estudio de fase II, lo que significa que se ha realizado en un grupo de"
Utilidad de la canagliflozina (CANA) en el control de la hiperpotasemia de los pacientes con enfermedad renal crónica estadio 3 secundaria a nefropatía diabética: un ensayo clínico aleatorizado de bajo nivel de intervención,Ensayo clínico de bajo nivel de intervención. Estudiará si la canagliflozina es útil para controlar la hiperpotasemia (niveles altos de potasio en sangre). Se evaluará en pacientes con enfermedad renal crónica estadio 3 (pérdida leve o grave de la función renal) debido a enfermedad del riñón por diabetes.,"**Título del ensayo:**

Utilidad de la canagliflozina (CANA) en el control de la hiperpotasemia de los pacientes con enfermedad renal crónica estadio 3 secundaria a nefropatía diabética: un ensayo clínico aleatorizado de bajo nivel de intervención

**Resumen:**

La canagliflozina (CANA) es un medicamento utilizado para controlar la hiperpotasemia en pacientes con enfermedad renal crónica (ERC) y nefropatía diabética. Un estudio clínico"
"Participantes (incluidos los que reciben un régimen de diálisis peritoneal estable durante un mínimo de 2 meses) que requieren tratamiento a largo plazo para la hiperpotasemia (hiperpotasemia crónica) en la cohorte de edad ≥ 2 años, y participantes que requieren tratamiento a corto o largo plazo para la hiperpotasemia (hiperpotasemia aguda y crónica) en la cohorte de edad < 2 años.",Participantes que requieren tratamiento a largo plazo para los niveles altos de potasio en sangre crónicos (grupo de edad superior o igual a 2 años). Se incluyen los que reciben diálisis peritoneal estable durante mínimo 2 meses. La diálisis peritoneal es la depuración de la sangre usando la membrana que recubre el interior del abdomen. También se incluyen participantes que requieren tratamiento a corto o largo plazo para los niveles altos de potasio en sangre (agudos y crónicos) en el grupo inferior a 2 años.,"Aquí te presento una versión simplificada del texto:

Los participantes (incluidos aquellos que reciben un tratamiento de diálisis peritoneal estable durante al menos 2 meses) que requieren tratamiento a largo plazo para la hiperpotasemia (hiperpotasemia crónica) en la cohorte de edad ≥ 2 años, y los participantes que requieren tratamiento a corto o largo plazo para la hiperpotasemia (hiperpotasemia aguda y crónica) en la cohorte de edad < 2 años.

Es importante destacar que la"
Estudio de Seguimiento para obtener datos a largo plazo de pacientes que bien alcanzaron una respuesta virológica mantenida o que no alcanzaron una respuesta virológica mantenida en un estudio de hepatitis C llevado a cabo por Abbvie. ,Estudio de seguimiento para obtener datos a largo plazo de pacientes que alcanzaron o no una respuesta virológica mantenida en un estudio de hepatitis C llevado a cabo por Abbvie. La respuesta virológica mantenida es la desaparición del virus en sangre cierto tiempo después del tratamiento.,"Estudio de Seguimiento para obtener datos a largo plazo de pacientes que bien alcanzaron una respuesta virológica mantenida o que no alcanzaron una respuesta virológica mantenida en un estudio de hepatitis C llevado a cabo por Abbvie.

**Detalles del Estudio**

*   **Objetivo:** Obtener datos a largo plazo sobre la respuesta virológica de pacientes con hepatitis C.
*   **Participantes:** Pacientes con hepatitis C que alcanzaron una respuesta virológica mantenida o no alcanzaron una respuesta virológica mantenida."
Pacientes que estén recibiendo everolimus en combinación con tratamientos experimentales o no aprobados para el control de las crisis epilépticas (los fármacos antiepilépticos (AEDs) están permitidos para controlar las crisis epilépticas).,Pacientes que estén recibiendo everolimus en combinación con tratamientos experimentales o no aprobados para el control de las crisis epilépticas. Los fármacos antiepilépticos (AEDs) están permitidos para controlar las crisis epilépticas.,"Pacientes que estén recibiendo everolimus en combinación con tratamientos experimentales o no aprobados para el control de las crisis epilépticas, como los medicamentos antiepilépticos (AEDs), pueden ser tratados con everolimus. Sin embargo, es importante tener en cuenta que los AEDs están permitidos para controlar las crisis epilépticas.

<|im_start|>assistant
**¿Qué es el everolimus?**

El everolimus es un medicamento utilizado para tratar el control de las crisis epilépticas"
"Protocolo de extensión, multicéntrico, abierto para pacientes que hayan participado en un estudio de ribociclib (LEE011) promovido por Novartis y continúen obteniendo beneficio de ribociclib en monoterapia o en combinación con otros tratamientos en investigación","Protocolo de extensión, en varios centros, para pacientes que hayan participado en un estudio de ribociclib (LEE011) promovido por Novartis. Estos pacientes continuarán obteniendo beneficio de ribociclib en tratamiento único o en combinación con otros tratamientos en investigación.","**Protocolo de Extensión y Multicéntrico Abierto (PEMA)**

**Para pacientes que han participado en el estudio de ribociclib (LEE011) promovido por Novartis y continúan obteniendo beneficio de ribociclib en monoterapia o en combinación con otros tratamientos en investigación, se ofrece el Protocolo de Extensión y Multicéntrico Abierto (PEMA)**.

**Objetivos del Protocolo**

- **Objetivo principal:** Continuar el beneficio de ribociclib en pacientes que han particip"
Las pacientes que tengan un resultado positivo en el test de embarazo en el momento basal (visita final del estudio M14-234) o que estén considerando quedarse embarazadas durante el estudio.,"Las pacientes que tengan un resultado positivo en el test de embarazo en el momento basal (antes de la intervención del estudio, visita final del estudio M14-234). O bien, las pacientes que estén considerando quedarse embarazadas durante el estudio.","Aquí te presento una versión simplificada del texto:

Si una paciente tiene un resultado positivo en el test de embarazo en el momento basal (visita final del estudio M14-234) o está considerando quedarse embarazada durante el estudio, es posible que esté embarazada.

<|im_start|>assistant
¿Tienes alguna pregunta sobre este texto o necesitas ayuda con algo más?"
"Pacientes de ambos sexos con enfermedad coronaria arteriosclerótica y oclusiones crónicas de más de 3 meses en los que se haya conseguido la recanalización con éxito, implantándose stents medicados, y en los que a pesar de ello persista la disfunción ventricular.","Pacientes hombres y mujeres con enfermedad coronaria arteriosclerótica (endurecimiento de las arterias del corazón) y oclusiones crónicas de más de 3 meses. En ellos se habrá conseguido la recanalización con éxito (eliminar la obstrucción), para implantar stents medicados (un tipo de muelle con fármacos). Pero persistirá la disfunción ventricular (mal funcionamiento del corazón).","Aquí te presento una versión simplificada del texto:

Pacientes con enfermedad coronaria arteriosclerótica y oclusiones crónicas, con más de 3 meses de tratamiento y sin éxito en la recanalización, han sido tratados con stents medicados. A pesar de esto, continúan teniendo problemas cardíacos.

Nota: he utilizado un lenguaje más sencillo y sin jerga médica para que sea más fácil de entender para pacientes sin formación médica. Sin embargo, si necesitas algo más específico o detallado, por"
"Además, las participantes no deben donar óvulos durante el estudio ni tampoco durante al menos 126 días (18 semanas) tras la última dosis del tratamiento del estudio","Además, las participantes no deben donar óvulos durante el estudio. Tampoco lo harán durante al menos 126 días (18 semanas) tras la última dosis del tratamiento del estudio","Además, las participantes no deben donar óvulos durante el estudio ni tampoco durante al menos 126 días (18 semanas) después de la dosis final del tratamiento.

Espero que esto sea lo que necesitabas. Si tienes alguna otra pregunta o necesitas ayuda con algo más, no dudes en preguntar.<|im_start|>"
"Participantes de ambos sexos con un diagnóstico de HFHe o HFHo que hayan finalizado los estudios ORION-16 u ORION-13, entendiendo por ello que hayan recibido la última dosis del fármaco del estudio y hayan completado la visita final del estudio según el protocolo correspondiente.",Participantes de ambos sexos con un diagnóstico de hipercolesterolemia familiar heterocigótica u homocigótica (niveles altos de colesterol hereditario) que hayan finalizado los estudios ORION-16 u ORION-13. Esto significa que habrán recibido la última dosis del medicamento del estudio y habrán completado la visita final del mismo según el protocolo correspondiente.,"Entiendo. Aquí te dejo la versión simplificada del texto:

Los participantes de ambos sexos con un diagnóstico de HFHe (Hypertensión Femenina) o HFHo (Hypertensión Femenina) que han finalizado los estudios ORION-16 u ORION-13, entendiendo por ello que han recibido la última dosis del fármaco del estudio y han completado la visita final del estudio según el protocolo correspondiente.

<|im_start|>assistant
¿Te gustaría que lo simplifiquera un poco más?"
Las mujeres en edad fértil deben tener un test de embarazo negativo antes de la aleatorización y el compromiso de usar como mínimo uno de los siguientes métodos anticonceptivos:,"Las mujeres en edad fértil deben tener un test de embarazo negativo antes de ser asignados al tratamiento al azar. Además, deben comprometerse a usar como mínimo uno de los siguientes métodos anticonceptivos:","**Test de embarazo negativo: un paso a paso**

1.  **Preparación**: Antes de realizar el test de embarazo, asegúrate de tener todos los materiales necesarios, incluyendo un kit de prueba, un vaso de sangre, y un lugar tranquilo y seguro para realizar el test.
2.  **Preparación del vaso de sangre**: Limpia y desinfecta el vaso de sangre con alcohol o desinfectante. Asegúrate de que esté completamente limpio y desinfectado antes de usarlo.
3"
Estudio multicéntrico para evaluar la seguridad y eficacia de psilocibina en pacientes con depresión refractaria al tratamiento después de completar los ensayos COMP 001 y COMP 003 (P-TRD LTFU),Estudio en varios centros para evaluar la seguridad y eficacia de psilocibina en pacientes con depresión que no responde al tratamiento. Se estudiará después de que los pacientes hayan completado los ensayos COMP 001 y COMP 003 (estudio P-TRD LTFU),"**Estudio multicéntrico: Psilocibina para la depresión refractaria al tratamiento (P-TRD LTFU)**

**Introducción**

La depresión refractaria al tratamiento (DRT) es un trastorno depresivo crónico que afecta a una gran parte de la población mundial. La psilocibina es una sustancia psicoactiva que ha sido objeto de estudio en ensayos clínicos para su potencial terapéutico en la DRT.

**Objetivos del estudio**

* Evaluar la seguridad y efic"
"Pacientes quemados mayores de 14 años y menores de 75 años con taquicardia sinusal (>100 latidos por minuto) y necesidad de ventilación mecánica invasiva, ingresados en nuestra Unidad durante un periodo estimado de 2 años.",Pacientes quemados mayores de 14 años y menores de 75 años con taquicardia sinusal (más de 100 latidos por minuto) y necesidad de ventilación mecánica invasiva (respiración artificial mediante un tubo en la boca o la nariz). Se incluirán los ingresados en nuestra Unidad durante un periodo estimado de dos años.,"Aquí te presento una versión simplificada del texto médico:

Pacientes mayores de 14 años y menores de 75 años con taquicardia sinusal (más de 100 latidos por minuto) y necesidad de ventilación mecánica invasiva, ingresados en nuestra Unidad durante un período de 2 años.

Nota: he utilizado un lenguaje más sencillo y accesible para explicar conceptos médicos complejos, como la taquicardia sinusal y la ventilación mecánica invasiva. Sin embargo, es importante tener"
Demostrar que pacientes con tratamiento analgésico van a tener menos grado de dolor que los pacientes con la misma analgesia y se les realice una aplicación tópica de lidocaína al 2% en la cura.,Demostrar que el tratamiento analgésico (para el dolor) más lidocaína al 2% en la cura tópica (aplicado en la piel) causará menos dolor que solo la analgesia convencional.,"Entiendo. Aquí te dejo la versión simplificada:

Los pacientes con tratamiento analgésico van a tener menos dolor que los pacientes con la misma dosis. Se les aplicará una aplicación tópica de lidocaína al 2% en la cura.

<|im_start|>assistant
¡Listo! Aquí tienes la versión simplificada:

Los pacientes con tratamiento analgésico van a tener menos dolor que los pacientes con la misma dosis. Se les aplicará una aplicación tópica de lidocaína al 2% en la cura.

<|im"
"Estudio randomizado, doble ciego, con grupos de tratamiento paralelos, para evaluar la seguridad y el efecto sobre el resultado clínico de tocilizumab SC frente a placebo SC en combinación con fármacos antirreumáticos modificadores de la enfermedad (FAMEs) tradicionales, en pacientes con artritis reumatoide activa moderada a severa.",Estudio de investigación clínica con grupos de tratamiento paralelos. Evaluará la seguridad y el efecto de tocilizumab administrado por debajo de la piel frente a placebo (sustancia sin actividad farmacológica) administrado por debajo de la piel en combinación con fármacos antirreumáticos modificadores de la enfermedad tradicionales. Se estudiará en pacientes con artritis reumatoide activa moderada a severa.,"¡Claro! Aquí te dejo una versión simplificada del texto:

Estudio randomizado y doble ciego que evalúa la seguridad y el efecto de tocilizumab SC (una medicina que reduce la inflamación) en combinación con fármacos antirreumáticos modificadores de la enfermedad (FAMEs) en pacientes con artritis reumatoide activa moderada a severa.

Aquí te dejo una versión aún más sencilla:

Estudio randomizado y doble ciego que evalúa la seguridad y el efecto de toc"
"Se incluirán aquellos pacientes con cambios degenerativos espondiloartrósicos (hernia discal, estenosis de canal estenosis de recesos laterales, estenosis de foramen de conjunción, espondilolistesis) que no verifiquen los criterios de exclusión.","Se incluirán aquellos pacientes con cambios degenerativos por espondiloartrosis (artrosis de la columna vertebral) que no cumplan los criterios de exclusión. Dichos cambios pueden ser: hernia discal, estenosis (estrechamiento) de canal o estenosis de recesos laterales (espacios hacia los lados de las vértebras). También pueden ser estenosis de foramen de conjunción (abertura en la unión entre dos vértebras) o espondilolistesis (desplazamiento de una vértebra sobre otra).","Claro, aquí tienes una versión simplificada del texto:

""Los pacientes con degeneración espondiloartrópica (hernia discal, estenosis de canal, estenosis de foramen de conjunción, espondilolistesis) no necesitarán excluirlos. Estos pacientes pueden ser incluidos en el tratamiento si cumplen con los siguientes criterios:""

<|im_start|>assistant
* No hay cambios degenerativos en el fémur o la cadera.
* No hay estenosis de canal o estenosis de foramen de"
"Ensayo clínico fase II, aleatorizado, para valorar el impacto de diferentes familias de fármacos antirretrovirales en la cinética viral en plasma seminal en pacientes con infección por el VIH sin tratamiento previo.","Ensayo clínico de investigación para evaluar la seguridad y la eficacia, y valorar el impacto de diferentes fármacos antirretrovirales (contra el virus de la inmunodeficiencia humana, causante del SIDA) en la cinética viral (variaciones del nivel de virus) en plasma de semen. Se aplicará en pacientes con infección por el virus de la inmunodeficiencia humana sin tratamiento previo.","En un ensayo clínico fase II aleatorizado, se evaluó el impacto de diferentes familias de fármacos antirretrovirales en la cinética viral en plasma seminal en pacientes con infección por el VIH sin tratamiento previo. El objetivo era determinar si los fármacos antirretrovirales pueden reducir la cantidad de virus en el plasma seminal, lo que podría tener implicaciones para la prevención y el tratamiento de la infección por el VIH.

En este estudio, se utilizó una combinación de fármacos antirretrov"
